tweet,sentimiento,puntaje_positivo,puntaje_negativo,puntaje_neutral,tiempo_fuzzy,defuzzificaci√≥n,sentimiento_defuzz,tiempo_defuzzificar,tiempo_total
I am moving to east palo alto,Positivo,0.0,0.0,1.0,6.999995093792677e-06,4.91,Neutral,5.9300000430084765e-05,6.629999552387744e-05
atebits i just finished watching your stanford iphone class session i really appreciate it you rock,Positivo,0.2,0.0,0.813,7.499998901039362e-06,4.98,Neutral,6.289999873843044e-05,7.03999976394698e-05
hi just saw your stanford talk and really liked your advice just saying hi from singapore yes the videos do get around,Positivo,0.2,0.0,0.775,7.400012691505253e-06,4.98,Neutral,5.4499992984347045e-05,6.19000056758523e-05
lakers tonight let s go,Positivo,0.0,0.0,1.0,6.999995093792677e-06,4.91,Neutral,5.810000584460795e-05,6.510000093840063e-05
will the lakers kick the nuggets ass tonight,Positivo,0.0,0.3,0.667,7.499998901039362e-06,3.99,Neutral,5.160000000614673e-05,5.909999890718609e-05
oooooooh north korea is in troubleeeee,Negativo,0.0,0.0,1.0,7.000009645707905e-06,4.91,Neutral,6.609999400097877e-05,7.310000364668667e-05
wat the heck is north korea doing they just conducted powerful nuclear tests follow the link,Negativo,0.2,0.0,0.843,7.499998901039362e-06,4.98,Neutral,5.4499992984347045e-05,6.199999188538641e-05
listening to obama friggin north korea,Negativo,0.0,0.0,1.0,7.199996616691351e-06,4.91,Neutral,5.849999433849007e-05,6.569999095518142e-05
i just realized we three monkeys in the white obama biden pelosi sarah palin,Negativo,0.0,0.0,1.0,7.000009645707905e-06,4.91,Neutral,5.950000195298344e-05,6.650001159869134e-05
pelosi should stay in china and never come back,Negativo,0.0,0.0,1.0,7.199996616691351e-06,4.91,Neutral,6.559999019373208e-05,7.279998681042343e-05
nancy pelosi gave the worst commencement speech I have ever heard yes I am still bitter about this,Negativo,0.1,0.3,0.575,7.800001185387373e-06,3.99,Neutral,5.3499999921768904e-05,6.130000110715628e-05
ugh the amount of times these stupid insects have bitten me grr,Negativo,0.0,0.4,0.617,8.000002708286047e-06,3.09,Negativo,5.360000068321824e-05,6.160000339150429e-05
prettiest insects ever pink katydids,Positivo,0.5,0.0,0.519,7.299997378140688e-06,7.67,Positivo,4.769999941345304e-05,5.499999679159373e-05
just got barraged by a horde of insects hungry for my kitchen light so scary,Negativo,0.0,0.2,0.76,7.299997378140688e-06,4.52,Neutral,5.18000015290454e-05,5.909999890718609e-05
just had mcdonalds for dinner d it was goooood big mac meal,Positivo,0.0,0.0,1.0,6.900008884258568e-06,4.91,Neutral,6.150000263005495e-05,6.840001151431352e-05
ahh yes lol ima tell my hubby to go get me sum mcdonalds,Positivo,0.3,0.0,0.667,7.199996616691351e-06,5.26,Neutral,5.2700008382089436e-05,5.990000499878079e-05
stopped to have lunch at mcdonalds chicken nuggetssss yummmmmy,Positivo,0.0,0.2,0.808,7.100010407157242e-06,4.52,Neutral,5.2700008382089436e-05,5.980001878924668e-05
could go for a lot of mcdonalds i mean a lot,Positivo,0.0,0.0,1.0,6.89999433234334e-06,4.91,Neutral,5.889999738428742e-05,6.579999171663076e-05
my exam went good your prayers worked,Positivo,0.3,0.0,0.674,7.399998139590025e-06,5.26,Neutral,6.079999729990959e-05,6.819999543949962e-05
only one exam left and i am so happy for it would,Positivo,0.3,0.0,0.678,7.200011168606579e-06,5.26,Neutral,5.4800009820610285e-05,6.200002098921686e-05
math review im going to fail the exam,Negativo,0.0,0.3,0.667,7.199996616691351e-06,3.99,Neutral,7.409999670926481e-05,8.129999332595617e-05
colin powell rocked yesterday on cbs cheney needs to shut the hell up and go home powell is a man of honor and served our country proudly,Negativo,0.2,0.1,0.669,7.599999662488699e-06,4.88,Neutral,5.269999383017421e-05,6.029999349266291e-05
obviously not siding with cheney here,Negativo,0.0,0.0,1.0,6.800008122809231e-06,4.91,Neutral,6.61999947624281e-05,7.300000288523734e-05
absolutely hilarious from,Positivo,0.6,0.0,0.401,7.199996616691351e-06,7.67,Positivo,5.099999543745071e-05,5.819999205414206e-05
i never did thank you for including me in your top twitter authors you rock amp i new wave d,Positivo,0.1,0.1,0.793,7.700000423938036e-06,4.81,Neutral,5.6899996707215905e-05,6.459999713115394e-05
rt awesome jquery reference book for coda webdesign,Positivo,0.4,0.0,0.631,7.299997378140688e-06,5.87,Neutral,5.499999679159373e-05,6.229999416973442e-05
I have been sending e mails like crazy today to my contacts does anyone have a contact at goodby silverstein I would love to speak to them,Positivo,0.2,0.1,0.687,7.299997378140688e-06,4.88,Neutral,6.050000956747681e-05,6.78000069456175e-05
goodby silverstein s new site i enjoy it,Positivo,0.4,0.0,0.61,7.099995855242014e-06,5.87,Neutral,5.5800002883188426e-05,6.289999873843044e-05
wow everyone at the google i o conference got free g s with a month of unlimited service,Positivo,0.4,0.0,0.608,7.199996616691351e-06,5.87,Neutral,5.4499992984347045e-05,6.16999896010384e-05
dood i got a free google android phone at the i o conference the g,Positivo,0.3,0.0,0.732,7.299997378140688e-06,5.26,Neutral,5.259999306872487e-05,5.989999044686556e-05
the g is amazing btw a huge improvement over the g,Positivo,0.6,0.0,0.355,7.199996616691351e-06,7.67,Positivo,4.8300003982149065e-05,5.5500000598840415e-05
html demos lots of great stuff to come yes I am excited io googleio,Positivo,0.5,0.0,0.521,7.399998139590025e-06,7.67,Positivo,5.299999611452222e-05,6.0399994254112244e-05
yay happy place place place i love google,Positivo,0.7,0.0,0.261,7.399998139590025e-06,7.6,Positivo,4.810000245925039e-05,5.5500000598840415e-05
googleio o d bringing d graphics to the browser very nice tbh funfun,Positivo,0.3,0.0,0.744,7.099995855242014e-06,5.26,Neutral,5.319999763742089e-05,6.029999349266291e-05
awesome viral marketing for funny people,Positivo,0.6,0.0,0.364,7.399998139590025e-06,7.67,Positivo,4.839999019168317e-05,5.57999883312732e-05
saw night at the museum out of sheer desperation who is funding these movies,Negativo,0.0,0.2,0.812,7.399998139590025e-06,4.52,Neutral,6.370000483002514e-05,7.110000296961516e-05
night at the museum pretty furkin good,Positivo,0.6,0.0,0.45,7.199996616691351e-06,7.67,Positivo,4.850000550504774e-05,5.570000212173909e-05
watching night at the museum giggling,Positivo,0.3,0.0,0.667,7.199996616691351e-06,5.26,Neutral,5.1700000767596066e-05,5.889999738428742e-05
back from seeing star trek and night at the museum star trek was amazing but night at the museum was eh,Negativo,0.1,0.0,0.893,7.200011168606579e-06,4.91,Neutral,5.629999213851988e-05,6.350000330712646e-05
just watched night at the museum so stinkin cute,Positivo,0.3,0.0,0.709,7.099995855242014e-06,5.26,Neutral,5.1700000767596066e-05,5.879999662283808e-05
so night at the museum was awesome much better than part next weekend we will see up,Positivo,0.3,0.0,0.682,7.099995855242014e-06,5.26,Neutral,5.539999983739108e-05,6.249999569263309e-05
saw the new night at the museum and i loved it next is to go see up in d,Positivo,0.2,0.0,0.804,7.100010407157242e-06,4.98,Neutral,5.439999222289771e-05,6.150000263005495e-05
it is a shame about gm what if they are forced to make only cars the white house thinks will sell what do you think,Negativo,0.0,0.2,0.783,7.099995855242014e-06,4.52,Neutral,5.2799994591623545e-05,5.989999044686556e-05
as u may have noticed not too happy about the gm situation nor aig lehman et al,Negativo,0.0,0.2,0.833,7.200011168606579e-06,4.52,Neutral,5.2100003813393414e-05,5.930001498199999e-05
gm good riddance sad though,Negativo,0.3,0.3,0.333,7.599999662488699e-06,4.61,Neutral,5.569998756982386e-05,6.329998723231256e-05
i will never buy a government motors vehicle until just recently i drove gm cars since when i bought a,Negativo,0.0,0.0,1.0,6.699992809444666e-06,4.91,Neutral,5.909999890718609e-05,6.579999171663076e-05
having the old coca cola guy on the gm board is stupid has heck tcot ala,Negativo,0.0,0.2,0.815,7.199996616691351e-06,4.52,Neutral,5.229999078437686e-05,5.949998740106821e-05
rantsandraves the worst thing about gm concord pleasant hill martinez is the fucking uaw,Negativo,0.2,0.2,0.619,7.700000423938036e-06,4.61,Neutral,5.09000092279166e-05,5.8600009651854634e-05
give a man a fish u feed him for the day teach him to fish u feed him for life buy him gm and u f k him over for good,Negativo,0.1,0.0,0.888,7.399998139590025e-06,4.91,Neutral,6.439999560825527e-05,7.179999374784529e-05
the more i hear about this gm thing the more angry i get billions wasted more bullshit all for something like k employees and all the,Negativo,0.1,0.3,0.587,7.499998901039362e-06,3.99,Neutral,5.329999839887023e-05,6.079999729990959e-05
i own a gm car and it is junk as far as quality compared to a honda,Negativo,0.0,0.0,1.0,6.700007361359894e-06,4.91,Neutral,5.9300000430084765e-05,6.600000779144466e-05
sad day bankrupt gm,Negativo,0.0,0.8,0.23,7.299997378140688e-06,1.86,Negativo,4.84000047435984e-05,5.570000212173909e-05
is upset about the whole gm thing life as i know it is so screwed up,Negativo,0.0,0.3,0.659,7.199996616691351e-06,3.99,Neutral,5.129999772179872e-05,5.849999433849007e-05
whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs,Negativo,0.0,0.3,0.719,6.999995093792677e-06,3.99,Neutral,5.980000423733145e-05,6.679999933112413e-05
wftb joining a bit late my connection was down boo time warner,Negativo,0.0,0.0,1.0,6.700007361359894e-06,4.91,Neutral,6.0699996538460255e-05,6.740000389982015e-05
cox or time warner cox is cheaper and gets a b on dslreports tw is more expensive and gets a c,Negativo,0.0,0.0,1.0,1.0799994925037026e-05,4.91,Neutral,6.02000072831288e-05,7.100000220816582e-05
i am furious with time warner and their phone promotions,Negativo,0.0,0.3,0.684,7.599999662488699e-06,3.99,Neutral,5.200000305194408e-05,5.9600002714432776e-05
just got home from chick fil a with the boys damn my internets down stupid time warner,Negativo,0.0,0.3,0.697,7.099995855242014e-06,3.99,Neutral,5.4899996030144393e-05,6.199999188538641e-05
could time warner cable suck more no,Negativo,0.0,0.5,0.481,7.399998139590025e-06,1.67,Negativo,5.060000694356859e-05,5.800000508315861e-05
pissed at time warner for causin me to have slow internet problems,Negativo,0.0,0.4,0.592,7.199996616691351e-06,3.09,Negativo,5.440000677481294e-05,6.160000339150429e-05
ummm having some time warner problems,Negativo,0.0,0.4,0.649,6.999995093792677e-06,3.09,Negativo,5.339999916031957e-05,6.0399994254112244e-05
you guys see this why does time warner have to suck so much ass really wish i could get u verse at my apartment,Negativo,0.1,0.2,0.663,7.499998901039362e-06,4.52,Neutral,6.260001100599766e-05,7.010000990703702e-05
rt the upside to time warner unhelpful phone operators superslow on site service crap that s not an upside,Negativo,0.0,0.1,0.867,7.799986633472145e-06,4.81,Neutral,5.709999823011458e-05,6.489998486358672e-05
rt new time warner slogan time warner where we make you long for the days before cable,Negativo,0.0,0.0,1.0,6.699992809444666e-06,4.91,Neutral,5.9300000430084765e-05,6.599999323952943e-05
confirmed it is time warner s fault not facebook s that fb is taking about minutes to load so tempted to switch to verizon,Negativo,0.0,0.1,0.886,7.100010407157242e-06,4.81,Neutral,6.710000161547214e-05,7.420001202262938e-05
time warner epic fail,Negativo,0.0,0.5,0.462,7.499998901039362e-06,1.67,Negativo,6.129998655524105e-05,6.879998545628041e-05
i know how sad is that rt st day of hurricane season that s less scarey than govt taking over gm,Negativo,0.0,0.2,0.755,7.399998139590025e-06,4.52,Neutral,5.390000296756625e-05,6.130000110715628e-05
gm files bankruptcy not a good sign,Negativo,0.0,0.3,0.675,7.399998139590025e-06,3.99,Neutral,5.089999467600137e-05,5.8299992815591395e-05
yankees won mets lost its a good day,Positivo,0.5,0.2,0.31,7.599999662488699e-06,5.26,Neutral,5.160000000614673e-05,5.919999966863543e-05
my dentist appt today was actually quite enjoyable,Positivo,0.3,0.0,0.687,7.300011930055916e-06,5.26,Neutral,6.160000339150429e-05,6.89000153215602e-05
i hate the effing dentist,Negativo,0.0,0.6,0.448,7.199996616691351e-06,1.72,Negativo,5.3499999921768904e-05,6.0699996538460255e-05
i hate going to the dentist,Negativo,0.0,0.5,0.519,7.199996616691351e-06,1.67,Negativo,5.2100003813393414e-05,5.9300000430084765e-05
i hate the dentist who invented them anyways,Negativo,0.0,0.4,0.619,7.299997378140688e-06,3.09,Negativo,5.420000525191426e-05,6.150000263005495e-05
this dentist s office is cold,Negativo,0.0,0.0,1.0,6.799993570894003e-06,4.91,Neutral,6.70000008540228e-05,7.37999944249168e-05
just applied at safeway yeeeee,Positivo,0.0,0.0,1.0,6.700007361359894e-06,4.91,Neutral,6.980000762268901e-05,7.65000149840489e-05
safeway place is a nightmare right now bumming,Negativo,0.0,0.0,1.0,6.89999433234334e-06,4.91,Neutral,6.540000322274864e-05,7.229999755509198e-05
hate safeway select green tea icecream bought two cartons what a waste of money gt _ lt,Negativo,0.1,0.3,0.583,7.700000423938036e-06,3.99,Neutral,5.190000229049474e-05,5.9600002714432776e-05
nike rocks I am super grateful for what I have done with them amp the european division of nike is beyond,Positivo,0.3,0.0,0.711,7.299997378140688e-06,5.26,Neutral,6.0399994254112244e-05,6.769999163225293e-05
have you tried nike v addictive,Positivo,0.0,0.0,1.0,6.800008122809231e-06,4.91,Neutral,5.909999890718609e-05,6.590000702999532e-05
the nike training club beta iphone app looks very interesting,Positivo,0.2,0.0,0.75,7.199996616691351e-06,4.98,Neutral,5.4799995268695056e-05,6.199999188538641e-05
argghhhh why will not my jquery appear in safari bad safari,Negativo,0.0,0.3,0.741,2.0100007532164454e-05,3.99,Neutral,5.370000144466758e-05,7.380000897683203e-05
I am ready to drop the pretenses i am forever in love with jquery and i want to marry it sorry ladies this nerd is jquery spokenfor js,Positivo,0.2,0.2,0.583,7.599999662488699e-06,4.61,Neutral,5.189998773857951e-05,5.949998740106821e-05
super investors a great weekend read here from warren buffet oldie but a goodie,Positivo,0.3,0.0,0.667,7.099995855242014e-06,5.26,Neutral,5.609999061562121e-05,6.319998647086322e-05
reading michael palin book the python years great book i also recommend warren buffet amp nelson mandela s bio,Positivo,0.3,0.0,0.694,7.099995855242014e-06,5.26,Neutral,5.280000914353877e-05,5.990000499878079e-05
i mean I am down with notre dame if i have to it is a good school I would be closer to dan I would enjoy it,Positivo,0.2,0.0,0.757,7.100010407157242e-06,4.98,Neutral,5.360000068321824e-05,6.070001109037548e-05
i cannot watch tv without a tivo and after all these years the time warner dvr still sucks,Negativo,0.0,0.1,0.857,6.89999433234334e-06,4.81,Neutral,5.570000212173909e-05,6.259999645408243e-05
I would say some sports writers are idiots for saying roger federer is one of the best ever in tennis roger federer is the best ever in tennis,Positivo,0.3,0.0,0.749,7.200011168606579e-06,5.26,Neutral,6.130000110715628e-05,6.850001227576286e-05
i still love my kindle but reading the new york times on it does not feel natural i miss the bloomingdale ads,Negativo,0.2,0.1,0.71,7.499998901039362e-06,4.88,Neutral,5.2700008382089436e-05,6.02000072831288e-05
i love my kindle no more stacks of books to trip over on the way to the loo,Positivo,0.2,0.1,0.701,7.599999662488699e-06,4.88,Neutral,5.149999924469739e-05,5.909999890718609e-05
although today s keynote rocked for every great announcement at amp t shit on us just a little bit more,Negativo,0.2,0.2,0.661,7.499998901039362e-06,4.61,Neutral,5.0300004659220576e-05,5.780000356025994e-05
its not so much my obsession with cell phones but the iphone I am a slave to at amp t forever because of it,Negativo,0.0,0.1,0.916,7.200011168606579e-06,4.81,Neutral,6.910000229254365e-05,7.630001346115023e-05
fuzzball is more fun than at amp t p,Negativo,0.4,0.0,0.625,7.099995855242014e-06,5.87,Neutral,5.5800002883188426e-05,6.289999873843044e-05
today is a good day to dislike at amp t vote out of office indeed,Negativo,0.2,0.2,0.667,7.599999662488699e-06,4.61,Neutral,5.230000533629209e-05,5.990000499878079e-05
got my wave sandbox invite extra excited too bad i have class now but I will play with it soon enough io wave,Positivo,0.2,0.1,0.671,7.399998139590025e-06,4.88,Neutral,5.3499999921768904e-05,6.089999806135893e-05
looks like summize has gone down too many tweets from wwdc perhaps,Negativo,0.2,0.0,0.815,7.000009645707905e-06,4.98,Neutral,5.529999907594174e-05,6.230000872164965e-05
thanks so much from one of your very happy kindle winners i was so surprised fabulous thank you best kathleen,Positivo,0.7,0.0,0.342,6.999995093792677e-06,7.6,Positivo,5.1099996198900044e-05,5.809999129269272e-05
man i kinda dislike apple right now case in point the iphone gs wish there was a video recorder app please,Negativo,0.2,0.1,0.686,7.50001345295459e-06,4.88,Neutral,5.360000068321824e-05,6.110001413617283e-05
i have a kindle amp sony prs like it physical device feels good font is nice pg turns are snappy enuf ui a little klunky,Positivo,0.3,0.0,0.699,7.499998901039362e-06,5.26,Neutral,5.200000305194408e-05,5.950000195298344e-05
the kindle seems the best ereader but will it work in the uk and where can i get one,Positivo,0.1,0.0,0.867,6.89999433234334e-06,4.91,Neutral,5.6199991377070546e-05,6.309998570941389e-05
i have a google addiction thank you for pointing that out hahaha,Positivo,0.4,0.0,0.567,6.900008884258568e-06,5.87,Neutral,6.340000254567713e-05,7.03000114299357e-05
dearest you rich bastards the visa card you sent me does not work why screw a little guy like me,Negativo,0.4,0.1,0.488,1.2299991794861853e-05,5.67,Neutral,5.4100004490464926e-05,6.639999628532678e-05
excited about seeing bobby flay and guy fieri tomorrow at the great american food amp music fest,Positivo,0.3,0.0,0.698,7.299997378140688e-06,5.26,Neutral,5.2499992307275534e-05,5.979998968541622e-05
gonna go see bobby flay moro at shoreline eat and drink gonna be good,Positivo,0.2,0.0,0.818,7.299997378140688e-06,4.98,Neutral,5.220000457484275e-05,5.950000195298344e-05
cannot wait for the great american food and music festival at shoreline tomorrow mmm katz pastrami and bobby flay yes please,Positivo,0.4,0.0,0.58,7.099995855242014e-06,5.87,Neutral,6.16999896010384e-05,6.879998545628041e-05
my dad was in ny for a day we ate at mesa grill last night and met bobby flay so much fun except i completely lost my voice today,Positivo,0.1,0.1,0.802,7.599999662488699e-06,4.81,Neutral,5.840000812895596e-05,6.600000779144466e-05
fighting with latex again,Negativo,0.0,0.5,0.545,7.400012691505253e-06,1.67,Negativo,7.03999976394698e-05,7.780001033097506e-05
we love you too and do not want you to die latex the devil,Negativo,0.2,0.4,0.422,7.599999662488699e-06,3.99,Neutral,5.6900011259131134e-05,6.450001092161983e-05
hours hours of inkscape crashing normally solid as a rock hours of latex complaining at the slightest thing i cannot take any more,Negativo,0.1,0.1,0.848,7.599999662488699e-06,4.81,Neutral,5.640000745188445e-05,6.400000711437315e-05
shit s hitting the fan in iran craziness indeed iranelection,Negativo,0.2,0.4,0.414,7.499998901039362e-06,3.99,Neutral,5.2100003813393414e-05,5.9600002714432776e-05
monday already iran may implode kitchen is a disaster seems happy had a nice weekend and is great whoop,Negativo,0.4,0.1,0.469,7.599999662488699e-06,5.67,Neutral,6.0000005760230124e-05,6.760000542271882e-05
getting ready to test out some burger receipes this weekend bobby flay has some great receipes to try thanks bobby,Positivo,0.4,0.0,0.642,7.200011168606579e-06,5.87,Neutral,5.7199998991563916e-05,6.44000101601705e-05
i lam so in love with bobby flay he is my favorite rt you need a place in phoenix we have great peppers here,Positivo,0.4,0.0,0.621,7.099995855242014e-06,5.87,Neutral,5.4799995268695056e-05,6.189999112393707e-05
i just created my first latex file from scratch that did not work out very well see it is a great time waster,Negativo,0.3,0.0,0.679,7.199996616691351e-06,5.26,Neutral,5.229999078437686e-05,5.949998740106821e-05
using linux and loving it so much nicer than windows looking forward to using the wysiwyg latex editor,Positivo,0.3,0.0,0.693,7.300011930055916e-06,5.26,Neutral,5.2400006097741425e-05,5.970001802779734e-05
after using latex a lot any other typeset mathematics just looks hideous,Positivo,0.0,0.0,1.0,6.799993570894003e-06,4.91,Neutral,6.079999729990959e-05,6.75999908708036e-05
on that note i hate word i hate pages i hate latex there i said it i hate latex all you texn rds can come kill me now,Negativo,0.0,0.5,0.48,7.399998139590025e-06,1.67,Negativo,4.980000085197389e-05,5.7199998991563916e-05
ahhh back in a real text editing environment i lt latex,Positivo,0.0,0.0,1.0,7.199996616691351e-06,4.91,Neutral,5.830000736750662e-05,6.550000398419797e-05
trouble in iran i see hmm iran iran so far away flockofseagullsweregeopoliticallycorrect,Negativo,0.0,0.2,0.787,7.299997378140688e-06,4.52,Neutral,5.190000229049474e-05,5.919999966863543e-05
reading the tweets coming out of iran the whole thing is terrifying and incredibly sad,Negativo,0.0,0.4,0.647,7.199996616691351e-06,3.09,Negativo,6.189999112393707e-05,6.909998774062842e-05
